submit_time,duration,cpu,memory,job_id,task_id,instances_num,disk,response_time,type
0,154.00514897945595,0.2581070450416851,0.2007801173627816,1,1,27,0,0,2
0,224.71017387246113,0.2742389294274265,0.23067138202446746,1,2,22,0,0,2
0,48.77463090957863,0.24964541442012164,0.25668732035976977,1,3,34,0,0,2
0,117.8628779422054,0.28605219086203054,0.21248406053274532,1,4,22,0,0,2
0,674.1599676152372,0.2832916095967661,0.23384146591305582,1,5,32,0,0,2
0,621.7429814274697,0.2232102059103101,0.20073577684649155,2,1,5,0,0,2
0,293.55886207431985,0.21597195241341882,0.2275439200053129,2,2,36,0,0,2
0,157.82795353000262,0.2510995310006319,0.27731138355696516,2,3,5,0,0,2
0,30.62232471905652,0.20850621568905797,0.2271951399980605,2,4,43,0,0,2
0,23.23276631315097,0.24945578811687305,0.2569026178440258,3,1,11,0,0,1
0,27.48856397909423,0.22635511534282327,0.2036396162108216,3,2,42,0,0,1
0,20.0347095622926,0.28159293561914445,0.24650070726607765,3,3,23,0,0,1
0,171.42754409215522,0.24980434356082828,0.24140056172866936,3,4,32,0,0,1
0,92.0075312660496,0.2745855639125528,0.20118302012841902,4,1,20,0,0,2
0,171.40189281372454,0.27256727058370145,0.22829270972729104,4,2,34,0,0,2
0,286.1934811425848,0.28248208301263505,0.2291381013539464,4,3,35,0,0,2
0,231.74623570658167,0.21056504847799326,0.22723125848692002,4,4,41,0,0,2
0,143.19306204172065,0.2085258011155891,0.20360088497037127,4,5,38,0,0,2
0,18.720909630738205,0.27631580028659425,0.21118172998074347,5,1,30,0,0,1
0,231.7378595696242,0.2706437364499276,0.21252555105544882,5,2,44,0,0,1
0,42.8098459526428,0.25049238703231747,0.20876437422772764,5,3,18,0,0,1
0,728.3825299519818,0.24370075827242296,0.23239368141605268,5,4,34,0,0,1
0,175.50992605061998,0.29016719513651185,0.2707727918852426,5,5,28,0,0,1
0,211.40534773898617,0.28665142655965753,0.20185638834758163,6,1,48,0,0,2
0,167.04249341246884,0.22877435863609097,0.2552862758742254,6,2,32,0,0,2
0,293.47657855914315,0.2172228711923669,0.24407576333805076,6,3,34,0,0,2
0,86.26007215229554,0.29748222187646395,0.22410909169781068,6,4,38,0,0,2
0,119.24008893385216,0.28516127653444967,0.27629521557153025,7,1,37,0,0,1
0,278.4395081465733,0.2602099449061375,0.23962981847888232,7,2,8,0,0,1
0,167.92550283781532,0.21479736459474918,0.29462457362030914,7,3,40,0,0,1
