,3250,,,2099.2718508997427,,,,,,,all_updated_0.4_e/6/1e-05/MSE_ReLU/92_10_13,139.44815999999966,9064.130399999978,"[0.31407758465175484, 0.28641180635683755, 0.2780845869248954]","[1923.0557823129252, 1928.433352240499, 2126.073400336532]"
,5200,,,3016.537456445993,,,,,,,all_updated_0.4_e/6/1e-05/MSE_ReLU/92_10_13,114.7334062499997,11932.274249999962,"[0.3335320059328969, 0.3252356657318376, 0.1916201369567194]","[2692.4700625558535, 2971.7686706708973, 3069.4983628659475]"
,4950,,,3486.8261864610936,,,,,,,all_updated_0.4_e/6/1e-05/MSE_ReLU/92_10_13,88.07694999999974,8719.618049999974,"[0.1982887126584999, 0.2115425314779742, 0.19297694951882896]","[2529.615449202351, 2865.9361792412797, 2260.9784040844897]"
,4550,,,3457.42686279901,,,,,,,all_updated_0.4_e/6/1e-05/MSE_ReLU/92_10_13,82.26456428571406,7486.075349999981,"[0.22146523796534434, 0.1657980763507326, 0.19273561153976043]","[2690.5118501120955, 2448.0361076006498, 2246.608660503296]"
,4100,,,1558.2507889363285,,,,,,,all_updated_0.4_e/6/1e-05/MSE_ReLU/92_10_13,145.630470731707,11941.698599999983,"[0.21016023597416827, 0.22594691946138212, 0.21931107211843395]","[1393.4715206410033, 1644.16641467594, 1915.0320329204826]"
,4150,,,1622.4032404055033,,,,,,,all_updated_0.4_e/6/1e-05/MSE_ReLU/92_10_13,141.57972650602375,11751.117299999984,"[0.20485258537696888, 0.23614724324380854, 0.19984170426386388]","[1440.6271374287523, 1720.7290611028316, 1824.4657934292463]"
,4200,,,2064.837550073793,,,,,,,all_updated_0.4_e/6/1e-05/MSE_ReLU/92_10_13,128.48779821428536,10792.975049999965,"[0.18027692910615783, 0.2510307801132606, 0.22038962470449172]","[1750.5913390207716, 2035.384099191183, 2136.287196954518]"
,4250,,,3608.9434666666666,,,,,,,all_updated_0.4_e/6/1e-05/MSE_ReLU/92_10_13,80.93853529411743,6879.775499999986,"[0.25954131664580726, 0.20458791809640522, 0.21460723258239464]","[2775.701051933283, 2527.3227409501233, 2265.905290535397]"
,2750,,,1624.1638977635782,,,,,,,all_updated_0.4_e/6/1e-05/MSE_ReLU/92_10_13,165.8304818181815,9120.676499999983,"[0.3584598009886095, 0.3227837398989899, 0.3061052235117129]","[1507.4723127035832, 1627.472649013839, 1853.5464008142117]"
,3150,,,2096.0972172672136,,,,,,,all_updated_0.4_e/6/1e-05/MSE_ReLU/92_10_13,132.83845714285678,8368.822799999974,"[0.2644365751060077, 0.304709828731261, 0.29631558754549886]","[1807.0749755779875, 1986.254093983624, 2201.338960380056]"
,4250,,,3482.735017123288,,,,,,,all_updated_0.4_e/6/1e-05/MSE_ReLU/92_10_13,82.26903176470566,6992.867699999987,"[0.26423951967737447, 0.1949108378267974, 0.21520013419552217]","[2575.323486184597, 2654.4647901234566, 2278.9354403131115]"
